farm_id,region,latitude,longitude,farm_size_ha,soil_ph,soil_organic_carbon_pct,clay_pct,annual_rainfall_mm,avg_temp_c,ndvi,evi,tree_density_per_ha,water_depth_cm,fertilizer_n_kg_ha,residue_management,irrigation,rice_variety,planting_date,harvest_date,rice_yield_t_ha,carbon_stock_tco2e_ha,ch4_emission_kg_ha
1,Terai Nepal,27.166436,84.095671,1.444,7.11,0.91,19.7,1028,24.7,0.336,0.189,65,0.4,75.0,incorporated,flood,MTU1010,2024-06-27,2024-10-21,3.672,5.054,353.4
2,Mekong Delta,9.91198,105.491048,1.293,6.9,1.13,24.7,975,25.1,0.764,0.585,35,6.1,48.2,incorporated,flood,IR64,2024-06-30,2024-10-17,5.849,7.036,354.0
3,Coastal Andhra,16.565591,81.464528,0.667,5.55,1.59,19.6,795,24.8,0.514,0.408,59,7.7,121.3,removed,flood,Swarna,2024-07-12,2024-10-24,4.657,7.534,334.0
4,Mekong Delta,10.243758,105.906872,1.17,7.1,1.38,18.5,1308,30.8,0.646,0.467,0,7.5,93.0,removed,flood,Naveen,2024-07-02,2024-10-18,5.309,5.887,290.3
5,Eastern UP,26.211494,83.108277,0.507,7.04,1.15,15.4,1075,23.5,0.609,0.471,36,2.4,81.0,incorporated,flood,Naveen,2024-07-09,2024-10-07,4.947,6.527,340.1
6,Terai Nepal,27.300182,83.845864,1.463,5.62,0.87,23.5,946,24.9,0.78,0.63,33,4.7,133.3,incorporated,flood,IR64,2024-06-20,2024-10-26,5.713,6.674,412.4
7,Mekong Delta,10.421562,105.917698,0.72,6.55,0.95,34.2,1711,29.2,0.651,0.569,61,1.3,108.8,incorporated,drip,Swarna,2024-06-25,2024-11-01,5.053,6.971,245.1
8,Coastal Andhra,16.744055,80.830741,1.4,7.28,0.4,26.8,1277,29.0,0.502,0.468,58,5.9,98.8,incorporated,flood,Samba Mahsuri,2024-07-08,2024-11-02,4.292,4.679,410.5
9,Eastern UP,25.642609,83.196966,0.681,6.97,1.78,16.8,1489,28.0,0.749,0.554,38,2.7,58.9,mulched,flood,MTU1010,2024-06-26,2024-09-25,5.957,8.304,354.8
10,Indo-Gangetic Plain,26.6877,81.742853,0.642,6.79,1.09,32.1,1341,26.8,0.548,0.524,33,7.6,97.5,mulched,alternate_wetting_drying,IR64,2024-06-22,2024-10-15,5.091,5.498,286.3
